PROJECT_ID,TYPE,CAMPAIGN_COUNTRY,CLUSTER,DEMOGRAPHY,SURVEY_DATE,RELEASE_DATE,IMPRESSIONS,YES_ANSWERS,NO_ANSWERS,NA_ANSWERS
project_7,vc,FR,FrenchComedy,MALE_35to44,2020-07-12,2020-06-05,83730,49,223,53
project_5,wi,FR,FrenchInfluencers,MALE_O45,2020-04-10,2020-04-15,5839,3,58,18
project_1,vc,GB,WomensFavouriteTV,FEMALE_25to34,2020-06-24,2020-03-18,5704,30,10,32
project_3,wi,IT,SciFi,MALE_35to44,2020-09-08,2020-09-25,2899,0,0,0
project_5,vc,FR,FrenchInfluencers,MALE_25to34,2020-04-29,2020-04-15,17201,9,152,31
project_3,wi,DE,DarkTV,FEMALE_O55,2020-09-08,2020-09-25,112,1,0,1
project_5,vc,FR,ViewedPrimeVideoCampaigns,MALE_U25,2020-04-29,2020-04-15,11624,14,119,28
project_6,vc,GB,SpiesSecretOperations,MALE_O45,2020-03-09,2020-02-21,3039,28,19,33
project_4,vc,DE,PrimeVideoFans,FEMALE_45to54,2020-10-13,2020-09-25,1623,9,13,29
project_9,vc,DE,FootballEntertainment,FEMALE_18to24,2020-06-23,2020-06-05,7606,41,97,43
project_9,wi,DE,FootballEntertainment,MALE_O55,2020-06-02,2020-06-05,5209,12,24,1
project_14,wi,AT,GermanComedyStandUp,FEMALE_45to54,2020-09-14,2020-12-04,12444,0,0,3
project_4,wi,DE,GermanPostWarHistory,FEMALE_25to34,2020-07-15,2020-09-25,2139,8,11,12
project_14,wi,DE,Comedy,FEMALE_45to54,2020-09-14,2020-12-04,1863,6,18,11
project_6,wi,FR,PRIMEOriginalSeries,MALE_O45,2019-11-29,2020-02-21,3750,11,13,16
project_3,wi,NL,Dystopian,MALE_U25,2020-08-14,2020-09-25,10862,2,104,28
project_5,wi,FR,FrenchComedians,FEMALE_25to34,2020-04-10,2020-04-15,5386,31,14,20
project_5,wi,FR,FrenchComedians,MALE_O45,2020-04-10,2020-04-15,6955,8,55,7
project_1,vc,ES,FemaleLedDramaMovies,MALE_U25,2020-08-18,2020-03-18,14134,9,22,5
project_1,vc,ES,PopularDrama,FEMALE_45to54,2020-08-18,2020-03-18,9909,11,0,17
project_12,wi,FR,FootballEntertainment,FEMALE_O55,2020-08-21,2020-09-15,3271,0,0,0
project_11,wi,FR,FrenchCinema,FEMALE_45to54,2020-08-21,2020-09-18,6049,0,0,0
project_1,vc,DE,PopularDrama,MALE_35to44,2020-07-07,2020-03-18,16002,6,18,23
project_2,vc,NO,Mixed_Segment_A,MALE_25to34,2020-11-06,2020-10-23,4055,5,0,1
project_11,wi,FR,FrenchComedy,FEMALE_18to24,2020-08-21,2020-09-18,32366,0,0,0
project_3,wi,DE,ComicBookTV,MALE_O55,2020-09-08,2020-09-25,1406,0,8,9
project_2,vc,DK,Core,FEMALE_25to34,2020-11-06,2020-10-23,3622,0,0,0
project_3,wi,IT,Dystopian,MALE_25to34,2020-09-08,2020-09-25,6573,0,0,0
project_6,vc,DE,VengeanceSelfJustice,MALE_O45,2020-03-09,2020-02-21,2521,2,16,8
project_2,wi,ES,Comedy,MALE_U25,2020-10-09,2020-10-23,9545,25,10,6
project_2,vc,SE,Core,FEMALE_35to44,2020-11-06,2020-10-23,3612,9,7,3
project_2,vc,FI,Mixed_Segment_F,MALE_O55,2020-11-06,2020-10-23,2541,1,8,2
project_8,vc,GB,TheCornettoTrilogy,MALE_U25,2020-11-06,2020-10-30,1889,0,0,0
project_7,vc,FR,RealityTVHits,MALE_25to34,2020-07-12,2020-06-05,90631,22,193,40
project_4,vc,DE,GermanPostWarHistory,FEMALE_45to54,2020-10-13,2020-09-25,3379,6,9,17
project_14,wi,AT,Control,FEMALE_45to54,2020-09-14,2020-12-04,10849,0,0,0
project_6,vc,DE,SpiesSecretOperations,FEMALE_25to34,2020-03-09,2020-02-21,1529,3,8,18
project_3,wi,FR,SciFi,MALE_25to34,2020-09-08,2020-09-25,5277,0,0,0
project_3,wi,IT,PrimeVideoFans,FEMALE_U25,2020-09-08,2020-09-25,2073,0,0,0
project_6,vc,FR,BrutalWitty,MALE_O45,2020-03-09,2020-02-21,3498,12,18,21
project_6,wi,GB,VengeanceSelfJustice,FEMALE_O45,2019-11-29,2020-02-21,1714,5,4,2
project_2,wi,ES,USDocumentary,FEMALE_35to44,2020-10-09,2020-10-23,8431,32,12,3
project_6,wi,ES,Action,MALE_O25,2019-11-30,2020-02-21,9155,3,5,1
project_3,wi,DE,PrimeVideoFans,FEMALE_25to34,2020-09-08,2020-09-25,1746,1,1,20
project_3,wi,FR,VisuallyArresting,MALE_45to54,2020-09-08,2020-09-25,3488,0,0,0
project_6,wi,DE,CastCrew,FEMALE_O45,2019-11-29,2020-02-21,1385,10,2,9
project_6,wi,ES,SpiesSecretOperations,FEMALE_O45,2019-11-30,2020-02-21,4523,8,2,1
project_8,vc,GB,Mixed_Segment_C,FEMALE_25to34,2020-11-06,2020-10-30,2837,0,0,0
project_1,vc,GB,DarkFemaleLedTV,MALE_35to44,2020-06-24,2020-03-18,4553,4,8,19
project_6,vc,GB,PRIMEOriginalSeries,FEMALE_U25,2020-03-09,2020-02-21,2461,16,21,18
project_3,wi,DE,Dystopian,FEMALE_25to34,2020-09-08,2020-09-25,1859,3,5,16
project_2,wi,AT,USCulture,MALE_O55,2020-10-10,2020-10-23,2287,3,2,4
project_4,vc,DE,Crime,MALE_35to44,2020-10-13,2020-09-25,4132,7,12,13
project_12,wi,FR,PSGFans,MALE_25to34,2020-08-21,2020-09-15,1083,0,0,0
project_6,vc,GB,Control,FEMALE_25to34,2020-03-09,2020-02-21,3985,16,51,42
project_2,wi,ES,OffensiveComedy,FEMALE_25to34,2020-10-09,2020-10-23,9021,30,21,6
project_11,wi,FR,HumoristCelebrities,FEMALE_35to44,2020-08-21,2020-09-18,4949,0,0,0
project_6,wi,FR,BrutalWitty,FEMALE_35to44,2019-11-29,2020-02-21,2663,6,7,14
project_2,vc,SE,Broad,FEMALE_45to54,2020-11-06,2020-10-23,2551,1,0,0
project_2,wi,ES,Control,FEMALE_45to54,2020-10-09,2020-10-23,2184,1,0,0
project_2,vc,IE,Core,FEMALE_U25,2020-11-06,2020-10-23,8210,0,0,0
project_7,vc,FR,GuestStars,FEMALE_18to24,2020-07-12,2020-06-05,47956,40,50,36
project_4,vc,DE,Spies,MALE_35to44,2020-10-13,2020-09-25,3754,11,21,9
project_7,vc,FR,FrenchInfluencers,FEMALE_45to54,2020-07-12,2020-06-05,39663,5,38,19
project_13,wi,FR,FrenchArtists,MALE_35to44,2020-09-21,2020-09-25,2003,0,0,0
project_2,vc,ES,USDocumentary,MALE_25to34,2020-11-10,2020-10-23,7387,0,0,0
project_2,vc,IE,Mixed_Segment_E,FEMALE_45to54,2020-11-06,2020-10-23,5573,0,0,0
project_10,wi,DE,GermanDrama,MALE_35to44,2020-10-23,2021-02-19,2236,4,14,10
project_6,wi,ES,Drama,MALE_U25,2019-11-30,2020-02-21,15316,1,21,5
project_5,wi,FR,StrongFemaleLeads,MALE_35to44,2020-04-10,2020-04-15,17810,30,118,16
project_6,vc,GB,SpiesSecretOperations,MALE_35to44,2020-03-09,2020-02-21,2898,20,7,27
project_1,vc,AT,Books,MALE_18to24,2020-07-07,2020-03-18,21576,1,6,4
project_2,vc,ES,USCulture,MALE_25to34,2020-11-10,2020-10-23,2842,0,0,0
project_1,vc,AT,DarkFemaleLedTV,FEMALE_35to44,2020-07-07,2020-03-18,24630,17,0,45
project_5,wi,FR,ComedyDramedy,MALE_25to34,2020-04-10,2020-04-15,13288,11,138,24
project_3,wi,IT,SciFi,FEMALE_35to44,2020-09-08,2020-09-25,2536,0,0,0
project_1,vc,ES,PopularDrama,MALE_U25,2020-08-18,2020-03-18,16443,9,28,6
project_14,wi,AT,GermanyComedy,FEMALE_25to34,2020-09-14,2020-12-04,10520,0,0,2
project_5,vc,FR,Teens,MALE_O45,2020-04-29,2020-04-15,16976,21,149,67
project_5,wi,FR,Families,FEMALE_25to34,2020-04-10,2020-04-15,5918,15,8,10
project_6,wi,ES,Action,FEMALE_U25,2019-11-30,2020-02-21,15937,4,13,4
project_12,wi,FR,Documentary,FEMALE_35to44,2020-08-21,2020-09-15,4141,0,0,0
project_6,vc,GB,Drama,MALE_35to44,2020-03-09,2020-02-21,2490,8,2,7
project_7,wi,FR,RealityTVHits,MALE_18to24,2020-05-15,2020-06-05,12311,33,74,23
project_1,vc,DE,WomensFavouriteTV,MALE_O45,2020-07-07,2020-03-18,5742,15,29,28
project_6,vc,FR,Drama,MALE_O45,2020-03-09,2020-02-21,2210,4,7,5
project_10,wi,DE,BiographiesTrueStories,FEMALE_O55,2020-10-23,2021-02-19,2598,2,10,3
project_6,wi,DE,SpiesSecretOperations,MALE_35to44,2019-11-29,2020-02-21,2343,19,8,15
project_3,wi,DE,DarkTV,FEMALE_U25,2020-09-08,2020-09-25,2163,0,0,17
project_6,vc,GB,VengeanceSelfJustice,FEMALE_35to44,2020-03-09,2020-02-21,2484,9,1,7
project_5,vc,FR,ViewedCP2Spots,FEMALE_ALL,2020-04-29,2020-04-15,1010,15,0,7
project_1,vc,ES,Books,FEMALE_U25,2020-08-18,2020-03-18,8402,2,15,6
project_2,vc,FI,Mixed_Segment_C,FEMALE_U25,2020-11-06,2020-10-23,7163,0,6,2
project_4,wi,DE,Interest,MALE_U25,2020-07-15,2020-09-25,4579,19,25,34
project_3,wi,FR,PrimeVideoFans,MALE_25to34,2020-09-08,2020-09-25,3450,0,0,0
project_7,vc,FR,Comedy,FEMALE_35to44,2020-07-12,2020-06-05,66654,29,71,59
project_4,wi,DE,Spies,FEMALE_U25,2020-07-15,2020-09-25,7124,14,20,63
project_10,wi,DE,BiographiesTrueStories,FEMALE_18to24,2020-10-23,2021-02-19,3883,4,9,4
project_8,wi,GB,SimonPeggWright,MALE_O55,2020-07-30,2020-10-30,1325,9,1,1
project_5,wi,FR,Moviegoers,FEMALE_25to34,2020-04-10,2020-04-15,6427,24,16,11
project_6,wi,DE,Drama,FEMALE_25to34,2019-11-29,2020-02-21,1645,0,7,15
project_6,vc,ES,Control,FEMALE_U25,2020-03-09,2020-02-21,6543,16,70,23
project_2,wi,ES,SBC,MALE_U25,2020-10-09,2020-10-23,5526,59,10,0
project_6,wi,DE,VengeanceSelfJustice,FEMALE_35to44,2019-11-29,2020-02-21,1792,7,1,7
project_14,wi,AT,StandUp,MALE_O55,2020-09-14,2020-12-04,12672,0,3,4
project_1,vc,DE,WomensFavouriteTV,FEMALE_18to24,2020-07-07,2020-03-18,6320,8,11,30
project_7,wi,FR,CyprienFans,MALE_25to34,2020-05-15,2020-06-05,17393,12,36,10
project_5,wi,FR,FrenchComedy,MALE_U25,2020-04-10,2020-04-15,14965,24,147,50
project_9,wi,DE,FootballEntertainment,MALE_18to24,2020-06-02,2020-06-05,5154,92,36,2
project_14,wi,DE,Mixed_Segment_E,MALE_45to54,2020-09-14,2020-12-04,14372,0,0,0
project_6,vc,DE,Drama,MALE_25to34,2020-03-09,2020-02-21,2386,8,13,11
project_9,vc,DE,Football,MALE_45to54,2020-06-23,2020-06-05,10507,44,122,21
project_14,wi,AT,StandUp,MALE_25to34,2020-09-14,2020-12-04,18440,2,5,7
project_7,vc,FR,NormanThavaudFans,FEMALE_45to54,2020-07-12,2020-06-05,56166,14,50,20
project_14,wi,AT,StandUp,FEMALE_45to54,2020-09-14,2020-12-04,15064,2,2,5
project_14,wi,AT,StandUp,FEMALE_25to34,2020-09-14,2020-12-04,19936,0,4,13
project_3,wi,NL,DarkTV,FEMALE_O55,2020-08-14,2020-09-25,5909,6,86,4
project_5,vc,FR,ComedyDramedy,MALE_O45,2020-04-29,2020-04-15,4374,6,12,3
project_7,vc,FR,McflyCarlito,FEMALE_18to24,2020-07-12,2020-06-05,63110,20,35,37
project_1,vc,ES,DarkFemaleLedTV,FEMALE_35to44,2020-08-18,2020-03-18,13598,59,2,85
project_14,wi,DE,GermanComedyStandUp,MALE_45to54,2020-09-14,2020-12-04,2774,12,16,28
project_10,wi,DE,DrugsonScreen,FEMALE_O55,2020-10-23,2021-02-19,2118,5,18,2
project_4,vc,DE,GermanCrimeDrama,FEMALE_U25,2020-10-13,2020-09-25,1525,3,3,5
project_12,wi,FR,MotivationMovies,FEMALE_35to44,2020-08-21,2020-09-15,3700,0,0,0
project_6,wi,GB,CastCrew,FEMALE_35to44,2019-11-29,2020-02-21,2019,17,2,8
project_6,wi,DE,PRIMEOriginalSeries,FEMALE_O25,2019-11-29,2020-02-21,5286,1,4,10
project_2,vc,ES,SBC,MALE_25to34,2020-11-10,2020-10-23,3907,0,0,0
project_11,wi,FR,ComedyHistoricalLiterature,MALE_45to54,2020-08-21,2020-09-18,7828,0,0,0
project_5,wi,FR,FemaleLedComedy,FEMALE_25to34,2020-04-10,2020-04-15,11876,98,55,48
project_10,wi,DE,Control,MALE_45to54,2020-10-23,2021-02-19,568,0,12,6
project_2,vc,FI,Demo,FEMALE_U25,2020-11-06,2020-10-23,5120,3,4,10
project_4,vc,DE,Broad,FEMALE_U25,2020-10-13,2020-09-25,1544,3,12,30
project_7,wi,FR,RealityTVHits,FEMALE_O45,2020-05-15,2020-06-05,783,6,6,10
project_6,wi,FR,PRIMEOriginalSeries,MALE_U25,2019-11-29,2020-02-21,11179,23,18,53
project_7,wi,FR,PrimeVideoFans,FEMALE_35to44,2020-05-15,2020-06-05,27330,3,5,2
project_6,wi,GB,Control,MALE_O45,2019-11-29,2020-02-21,3968,8,21,10
project_6,wi,ES,CastCrew,MALE_U25,2019-11-30,2020-02-21,20745,18,107,36
project_8,vc,GB,Mixed_Segment_E,MALE_O55,2020-11-06,2020-10-30,4724,0,0,0
project_2,vc,NO,Core,MALE_35to44,2020-11-06,2020-10-23,3051,24,8,2
project_6,wi,DE,VengeanceSelfJustice,MALE_O45,2019-11-29,2020-02-21,2126,7,17,10
project_12,wi,FR,MotivationMovies,FEMALE_45to54,2020-08-21,2020-09-15,3465,0,0,0
project_8,vc,GB,KerrysBespokeList,FEMALE_45to54,2020-11-06,2020-10-30,1505,0,0,0
project_14,wi,DE,Mixed_Segment_E,MALE_O55,2020-09-14,2020-12-04,13130,0,0,0
project_2,wi,ES,Control,MALE_O55,2020-10-09,2020-10-23,3448,0,4,2
project_2,vc,FI,Demo,MALE_25to34,2020-11-06,2020-10-23,2613,12,1,2
project_14,wi,DE,Comedy,MALE_O55,2020-09-14,2020-12-04,2163,2,31,25
project_7,vc,FR,CyprienFans,FEMALE_45to54,2020-07-12,2020-06-05,45320,6,19,20
project_6,vc,ES,VengeanceSelfJustice,MALE_35to44,2020-03-09,2020-02-21,5856,46,24,34
project_11,wi,FR,FrenchCinema,FEMALE_18to24,2020-08-21,2020-09-18,6709,0,0,0
project_1,wi,NL,DarkFemaleLedTV,FEMALE_O55,2020-05-10,2020-03-18,3260,2,1,8
project_10,wi,DE,Berlin,MALE_45to54,2020-10-23,2021-02-19,1082,1,7,4
project_6,vc,GB,VengeanceSelfJustice,FEMALE_O45,2020-03-09,2020-02-21,2762,12,3,8
project_3,wi,GB,DarkTV,FEMALE_25to34,2020-08-14,2020-09-25,8105,6,13,56
project_4,wi,DE,GermanPostWarHistory,FEMALE_O55,2020-07-15,2020-09-25,1330,2,9,20
project_8,vc,GB,Mixed_Segment_E,FEMALE_45to54,2020-11-06,2020-10-30,2076,0,0,0
project_4,vc,DE,Crime,MALE_45to54,2020-10-13,2020-09-25,3601,9,26,11
project_1,wi,GB,MysteryThriller,FEMALE_25to34,2020-05-10,2020-03-18,3953,3,1,4
project_14,wi,AT,StandUp,FEMALE_18to24,2020-09-14,2020-12-04,3555,1,2,4
project_2,wi,AT,OffensiveComedy,FEMALE_45to54,2020-10-10,2020-10-23,6885,3,6,0
project_3,wi,FR,PrimeVideoFans,MALE_35to44,2020-09-08,2020-09-25,2805,0,0,0
project_10,wi,DE,Control,MALE_O55,2020-10-23,2021-02-19,493,0,8,2
project_1,vc,ES,WomensFavouriteTV,MALE_U25,2020-08-18,2020-03-18,13647,6,12,5
project_10,wi,DE,Music,FEMALE_O55,2020-10-23,2021-02-19,673,4,6,1
project_5,vc,FR,FrenchComedy,FEMALE_U25,2020-04-29,2020-04-15,29285,127,97,143
project_14,wi,DE,GermanyComedy,MALE_45to54,2020-09-14,2020-12-04,2685,7,16,24
project_1,wi,GB,FemaleLedDrama,FEMALE_O55,2020-05-10,2020-03-18,5698,4,1,5
project_2,vc,ES,Control,FEMALE_35to44,2020-11-10,2020-10-23,7470,0,0,0
project_6,vc,ES,TarantinoStyle,FEMALE_25to34,2020-03-09,2020-02-21,4567,6,10,9
project_1,wi,NL,WomensFavouriteTV,FEMALE_45to54,2020-05-10,2020-03-18,3985,3,2,15
project_4,vc,DE,GermanCrimeDrama,MALE_O55,2020-10-13,2020-09-25,1584,11,12,2
project_1,vc,ES,FemaleLedDramaMovies,FEMALE_45to54,2020-08-18,2020-03-18,10425,16,3,11
project_4,wi,DE,GermanPostWarHistory,MALE_45to54,2020-07-15,2020-09-25,1798,8,9,13
project_7,vc,FR,Comedy,FEMALE_25to34,2020-07-12,2020-06-05,74239,60,123,54
project_11,wi,FR,Rural,FEMALE_18to24,2020-08-21,2020-09-18,5814,0,0,0
project_6,wi,DE,PRIMEOriginalSeries,MALE_25to34,2019-11-29,2020-02-21,2612,4,12,8
project_2,vc,FI,Mixed_Segment_C,FEMALE_25to34,2020-11-06,2020-10-23,4825,1,3,0
project_4,wi,DE,Spies,FEMALE_O55,2020-07-15,2020-09-25,5781,8,40,46
project_11,wi,FR,FamousEpicComics,MALE_18to24,2020-08-21,2020-09-18,3341,0,0,0
project_8,vc,GB,KerrysBespokeList,MALE_U25,2020-11-06,2020-10-30,2612,0,0,0
project_1,wi,NL,DarkFemaleLedTV,MALE_45to54,2020-05-10,2020-03-18,3795,1,0,4
project_7,vc,FR,FrenchComedy,MALE_25to34,2020-07-12,2020-06-05,127473,47,316,50
project_1,wi,NL,DarkFemaleLedTV,MALE_35to44,2020-05-10,2020-03-18,4675,0,7,12
project_1,wi,GB,PopularDramaThrillerTV,FEMALE_25to34,2020-05-10,2020-03-18,2348,1,3,4
project_2,wi,AT,USCulture,FEMALE_35to44,2020-10-10,2020-10-23,1077,1,0,0
project_5,wi,FR,FemaleCenteredInterests,MALE_25to34,2020-04-10,2020-04-15,6030,7,70,12
project_6,wi,ES,VengeanceSelfJustice,MALE_U25,2019-11-30,2020-02-21,16569,4,49,13
project_6,wi,GB,Control,FEMALE_O45,2019-11-29,2020-02-21,2943,10,22,21
project_3,wi,IT,DarkTV,FEMALE_35to44,2020-09-08,2020-09-25,3794,0,0,0
project_11,wi,FR,FamousEpicComics,FEMALE_18to24,2020-08-21,2020-09-18,6488,0,0,0
project_6,vc,FR,CastCrew,MALE_O45,2020-03-09,2020-02-21,3013,35,12,27
project_11,wi,FR,French,MALE_18to24,2020-08-21,2020-09-18,3842,0,0,0
project_4,vc,DE,GermanPostWarHistory,MALE_U25,2020-10-13,2020-09-25,5503,25,12,14
project_2,wi,AT,USCulture,MALE_25to34,2020-10-10,2020-10-23,923,13,0,0
project_1,vc,ES,FemaleLedDramaMovies,MALE_25to34,2020-08-18,2020-03-18,13647,11,38,6
project_2,wi,AT,Comedy,MALE_25to34,2020-10-10,2020-10-23,1843,18,6,1
project_10,wi,DE,Book,MALE_18to24,2020-10-23,2021-02-19,1501,1,7,2
project_7,wi,FR,Gamers,MALE_18to24,2020-05-15,2020-06-05,34893,36,63,23
project_2,vc,NO,Demo,FEMALE_O55,2020-11-06,2020-10-23,1489,0,7,2
project_5,wi,FR,BarreDancePoleFitnessEnthusiasts,MALE_O45,2020-04-10,2020-04-15,5626,4,46,7
project_6,wi,DE,Control,MALE_25to34,2019-11-29,2020-02-21,2462,0,17,26
project_14,wi,DE,GermanComedyStandUp,MALE_18to24,2020-09-14,2020-12-04,3141,9,8,15
project_14,wi,DE,Comedy,FEMALE_25to34,2020-09-14,2020-12-04,2337,4,11,27
project_12,wi,FR,PSGFans,FEMALE_O55,2020-08-21,2020-09-15,2646,0,0,0
project_2,vc,ES,USCulture,MALE_35to44,2020-11-10,2020-10-23,2396,0,0,0
project_6,wi,ES,PRIMEOriginalSeries,MALE_25to34,2019-11-30,2020-02-21,5965,12,9,18
project_11,wi,FR,Urban,FEMALE_18to24,2020-08-21,2020-09-18,9356,0,0,0
project_6,vc,GB,BrutalWitty,FEMALE_O45,2020-03-09,2020-02-21,1806,11,3,5
project_11,wi,FR,FamilyEntertainment,FEMALE_35to44,2020-08-21,2020-09-18,11974,0,0,0
project_3,wi,FR,DarkTV,FEMALE_U25,2020-09-08,2020-09-25,4647,0,0,0
project_3,wi,DE,PrimeVideoFans,MALE_25to34,2020-09-08,2020-09-25,2063,1,8,22
project_1,vc,ES,PrimeVideoFans,FEMALE_O55,2020-08-18,2020-03-18,4177,6,2,1
project_2,vc,SE,Core,MALE_U25,2020-11-06,2020-10-23,3072,27,8,6
project_5,wi,FR,Teens,FEMALE_35to44,2020-04-10,2020-04-15,5415,28,21,68
project_6,wi,FR,Control,MALE_O25,2019-11-29,2020-02-21,5000,1,8,3
project_2,vc,SE,Broad,FEMALE_35to44,2020-11-06,2020-10-23,2371,3,0,0
project_1,vc,GB,PopularDramaThrillerTV,FEMALE_U25,2020-06-24,2020-03-18,7476,19,70,113
project_1,vc,DE,WomensFavouriteTV,MALE_25to34,2020-07-07,2020-03-18,16526,8,16,24
project_3,wi,GB,VisuallyArresting,FEMALE_25to34,2020-08-14,2020-09-25,7538,4,7,30
project_5,vc,FR,Singles,FEMALE_O45,2020-04-29,2020-04-15,11199,36,65,17
project_5,wi,FR,BarreDancePoleFitnessEnthusiasts,FEMALE_35to44,2020-04-10,2020-04-15,5798,15,4,9
project_8,vc,GB,BestOfComedy,MALE_35to44,2020-11-06,2020-10-30,2109,0,0,0
project_6,vc,FR,Control,MALE_35to44,2020-03-09,2020-02-21,4830,26,29,12
project_6,wi,ES,Drama,FEMALE_35to44,2019-11-30,2020-02-21,4537,1,4,3
project_5,wi,FR,InARelationship,MALE_U25,2020-04-10,2020-04-15,6459,9,84,20
project_1,vc,DE,Feminism,FEMALE_18to24,2020-07-07,2020-03-18,3300,2,5,24
project_1,vc,ES,Books,MALE_O55,2020-08-18,2020-03-18,4953,2,9,2
project_2,vc,FI,Broad,FEMALE_45to54,2020-11-06,2020-10-23,2597,2,3,3
project_6,vc,DE,Control,FEMALE_35to44,2020-03-09,2020-02-21,2475,18,37,32
project_3,wi,FR,DarkTV,FEMALE_O55,2020-09-08,2020-09-25,3202,0,0,0
project_1,vc,DE,PrimeVideoFans,MALE_O55,2020-07-07,2020-03-18,16541,0,10,2
project_6,vc,GB,BrutalWitty,MALE_O45,2020-03-09,2020-02-21,2555,13,3,9
project_3,wi,GB,VisuallyArresting,FEMALE_45to54,2020-08-14,2020-09-25,5139,3,2,20
project_10,wi,DE,Book,FEMALE_O55,2020-10-23,2021-02-19,681,0,11,2
project_6,vc,DE,Control,MALE_25to34,2020-03-09,2020-02-21,2915,17,60,22
project_2,vc,SE,Broad,MALE_U25,2020-11-06,2020-10-23,4084,9,4,2
project_9,wi,DE,FootballEntertainment,FEMALE_O55,2020-06-02,2020-06-05,3814,9,16,0
project_4,vc,DE,Thriller,FEMALE_25to34,2020-10-13,2020-09-25,3276,14,21,17
project_13,wi,FR,FrenchCinema,FEMALE_25to34,2020-09-21,2020-09-25,848,0,0,0
project_2,vc,DK,Mixed_Segment_E,MALE_45to54,2020-11-06,2020-10-23,4418,0,0,0
project_2,vc,PT,Mixed_Segment_A,MALE_25to34,2020-11-07,2020-10-23,14253,9,1,0
project_6,wi,ES,SpiesSecretOperations,FEMALE_25to34,2019-11-30,2020-02-21,4654,4,0,4
project_6,wi,GB,BrutalWitty,MALE_O45,2019-11-29,2020-02-21,3270,6,8,7
project_1,vc,ES,BestOfMystery,FEMALE_25to34,2020-08-18,2020-03-18,12930,12,2,12
project_7,vc,FR,LudovikFans,FEMALE_35to44,2020-07-12,2020-06-05,88298,24,48,45
project_1,vc,AT,FemaleLedDramaMovies,FEMALE_35to44,2020-07-07,2020-03-18,28466,14,9,40
project_2,vc,ES,OffensiveComedy,FEMALE_35to44,2020-11-10,2020-10-23,8990,0,0,0
project_2,vc,IE,Broad,FEMALE_25to34,2020-11-06,2020-10-23,3446,0,0,0
project_7,vc,FR,PrimeVideoFans,FEMALE_18to24,2020-07-12,2020-06-05,58894,29,15,23
project_11,wi,FR,PopularCultComedy,FEMALE_25to34,2020-08-21,2020-09-18,34611,0,0,0
project_7,vc,FR,GuestStars,FEMALE_25to34,2020-07-12,2020-06-05,57447,11,34,32
project_3,wi,GB,VisuallyArresting,MALE_35to44,2020-08-14,2020-09-25,8506,9,12,27
project_5,vc,FR,Teens,FEMALE_O45,2020-04-29,2020-04-15,13106,45,61,87
project_7,wi,FR,LudovikFans,FEMALE_O45,2020-05-15,2020-06-05,1473,2,6,2
project_6,wi,DE,VengeanceSelfJustice,FEMALE_25to34,2019-11-29,2020-02-21,1684,1,1,4
project_7,wi,FR,GuestStars,FEMALE_35to44,2020-05-15,2020-06-05,15729,0,4,9
project_8,wi,GB,SimonPeggWright,MALE_25to34,2020-07-30,2020-10-30,4251,98,3,7
project_10,wi,DE,Music,FEMALE_25to34,2020-10-23,2021-02-19,1064,2,8,3
project_2,vc,ES,USDocumentary,FEMALE_35to44,2020-11-10,2020-10-23,10028,0,0,0
project_14,wi,DE,GermanComedyStandUp,FEMALE_18to24,2020-09-14,2020-12-04,2294,2,6,8
project_12,wi,FR,PrimeVideoFans,MALE_45to54,2020-08-21,2020-09-15,3473,0,0,0
project_4,wi,DE,Interest,MALE_45to54,2020-07-15,2020-09-25,4601,25,36,22
project_6,wi,FR,Action,MALE_35to44,2019-11-29,2020-02-21,2591,5,3,6
project_3,wi,NL,DarkTV,FEMALE_45to54,2020-08-14,2020-09-25,6929,1,65,15
project_7,vc,FR,GuestStars,FEMALE_35to44,2020-07-12,2020-06-05,54193,7,35,26
project_6,vc,FR,Control,FEMALE_35to44,2020-03-09,2020-02-21,3891,20,40,45
project_10,wi,DE,Berlin,FEMALE_45to54,2020-10-23,2021-02-19,1139,3,4,4
project_5,vc,FR,PrimeVideoFans,MALE_25to34,2020-04-29,2020-04-15,7778,17,53,24
project_1,vc,DE,FemaleLedDramaMovies,FEMALE_18to24,2020-07-07,2020-03-18,5178,10,6,34
project_6,wi,DE,Action,MALE_U25,2019-11-29,2020-02-21,1464,0,2,8
project_1,vc,GB,FemaleLedDrama,FEMALE_35to44,2020-06-24,2020-03-18,5471,19,2,43
project_6,vc,FR,PRIMEOriginalSeries,MALE_35to44,2020-03-09,2020-02-21,3311,18,5,9
project_7,vc,FR,CyprienFans,FEMALE_18to24,2020-07-12,2020-06-05,111867,71,62,57
project_6,wi,DE,Action,FEMALE_25to34,2019-11-29,2020-02-21,1238,0,5,10
project_2,vc,FI,Mixed_Segment_D,FEMALE_25to34,2020-11-06,2020-10-23,4384,3,1,2
project_2,wi,ES,USDocumentary,FEMALE_U25,2020-10-09,2020-10-23,17865,15,15,11
project_6,wi,DE,PRIMEOriginalSeries,MALE_O45,2019-11-29,2020-02-21,2083,8,10,3
project_1,vc,GB,FemaleLedDrama,FEMALE_O55,2020-06-24,2020-03-18,4635,12,4,26
project_8,wi,GB,TheCornettoTrilogy,MALE_U25,2020-07-30,2020-10-30,3291,96,3,5
project_7,wi,FR,PrimeVideoFans,MALE_18to24,2020-05-15,2020-06-05,32833,10,7,2
project_6,wi,ES,Control,MALE_35to44,2019-11-30,2020-02-21,7194,15,19,7
